## What the update is about, in words.
##
## Written by hand on 2026-09-01 from the official patch notes, because no
## amount of reading the client tells you why anything was added. Everything
## else on the What's New page is generated by comparing two clients; this
## file is the one part of it that is editorial, and it is dated and signed
## for exactly that reason.
##
## Format: one fact per line, kind|text. A "part" opens a section and every
## "point" after it belongs to that section until the next one.

title|Month of the Mad God
subtitle|Season 30, Part 2 — Time Chamber
date|2026-09-01
lede|Ten years since Oryx took the realm, and the anniversary is the update. A hub of twelve portals leads to classic dungeons rebuilt as they were; six new encounters fill the biomes that had none; and an event runs five weeks on top of it.

part|The Time Chamber
point|A hub room ringed by twelve Legacy Portals, each leading to a classic dungeon rebuilt one for one — same sprites, same monsters, same loot.
point|Pirate Cave, Forest Maze, Spider Den, Sprite World, Abyss of Demons, Undead Lair, Deadwater Docks, Crawling Depths, Woodland Labyrinth, Shaitan's Lair, Lair of Draconis, The Shatters.
point|The portal at twelve o'clock is the gentlest and they get harder clockwise. They hit as hard as they used to.
point|The Keyper appears at 33% and 66% of each realm's completion, and he is the way in.

part|Six new encounters, thirteen new whites
point|The realm rework left some biomes short of encounters — Risen Hell had only the Skull Shrine, and not exclusively. These fill the gaps, and every class now has an event white of its own.
point|Artificial Slop in the Haunted Hallows, Cold Soul in the Risen Hell, Towering Perfection in the Sprite Forest, Man-eating Barnacle in the Coral Reefs, Stygian Mirror in the Risen Hell, Cube Deity in the Deep Sea Abyss.
point|Shifting Shroud, Cold Front, Babel Blocks, Barnacle Shell, Obsidian Lyre, Rectangular Prism, Wrathful Conduit, Rift Rippers, Scary Stories, General's Arsenal, Fossilized Skull, Skeletal Sigilpede, Ravenous Wand.
point|Ray Katana was reworked into something worth its rarity: it now fires a laser on hit, gaining projectiles with your defense.
point|Skull Shrine is now exclusive to the Risen Hell, Cube God to the Sprite Forest, and the Sprite Forest finally has conveyors.

part|Venerable equipment
point|Existing gear rebuilt and improved, designed as a set: the bonus lands once a weapon, an armour and a ring are all worn. No ability item is part of it.
point|Weapons — Venerable Ancient Stone Sword, Spirit Dagger, Doom Bow, Staff of the Crystal Serpent, Crystal Wand, Doku no Ken.
point|Armour — Venerable Resurrected Warrior's Armor, Coral Silk Armor, Robe of the Mad Scientist.
point|Rings — Venerable Ring of the Pyramid, of the Nile, of the Sphinx. Combine the three in the Forge for the Decades Chronicle.

part|Timekeeper Mystic
point|A UT set reskin marking the Mystic's rework: Staff of Rich History, Entrancing Hourglass, Traditional Blouse, Bronze Pocketwatch.
point|Collect all four and you can transform into the Timekeeper Mystic. It comes as a mini-skin too.
point|Fourteen shards feed the set; missions dedicated to the Mystic pay them out, and a full set exchanges for a chest you choose from.

part|Missions and campaigns
